Match,Chrono,Score_team1,Score_team2,Possession,Start_type,Start_time,End_time,Start_zone,Start_zone_value,End_zone,End_zone_value,Résultat,Dernière action,Passe,Ruck,Ruck +,Offload,Offload +,Jeu au pied,Maul,Relâché,Départ ruck,Dégagement
France - Ireland,0'-20',0,0,Ireland,Coup de pied,1707254138.7084632,1707254176.9747815,22m1,2,10m2,7,Supprimer,Dégagement,1,1,1,0,0,0,0,0,0,1
France - Ireland,0'-20',0,0,Ireland,Coup de pied,1707254206.2481823,1707254236.4233649,22m4,11,10m2,7,Supprimer,Dégagement,1,2,0,0,0,0,0,0,0,1
France - Ireland,0'-20',0,0,France,Coup de pied,1707254251.6108701,1707254267.5917463,22m1,2,10m1,6,Touche,Dégagement,1,2,0,0,0,0,0,0,0,1
France - Ireland,0'-20',0,0,Ireland,Touche,1707254292.4672763,1707254322.818923,10m2,7,10m2,7,Perte,Dégagement,5,1,1,0,0,0,0,0,0,1
France - Ireland,0'-20',0,0,France,Turnover,1707254346.8562183,1707254359.292655,10m1,6,40m4,9,Perte,Dégagement,2,1,0,0,0,0,0,0,0,1
France - Ireland,0'-20',0,0,France,Coup de pied,1707254386.5279024,1707254414.8163257,10m1,6,22m3,10,Touche,Passe,6,1,0,0,0,0,0,0,0,0
France - Ireland,0'-20',0,0,Ireland,Touche,1707254435.8112962,1707254456.8077283,22m2,3,40m3,8,Perte,Dégagement,3,0,1,0,0,0,0,0,0,1
France - Ireland,0'-20',0,0,Ireland,Coup de pied,1707254461.4895713,1707254501.3800979,40m1,4,10m2,7,Perte,Jeu au pied,3,2,0,0,0,1,0,0,0,0
France - Ireland,0'-20',0,0,France,Coup de pied,1707254509.2462025,1707254530.4788916,10m1,6,40m2,5,Perte,Passe,6,2,0,0,0,0,0,0,0,0
France - Ireland,0'-20',0,0,Ireland,Turnover,1707254549.6521807,1707254581.7759426,40m3,8,40m3,8,Faute +,Ruck,5,4,1,0,0,0,0,0,1,0
France - Ireland,0'-20',0,0,Ireland,Touche,1707254604.3405106,1707254664.1674163,22m4,11,22m4,11,Faute +,Passe,6,3,3,0,0,0,1,0,1,0
France - Ireland,0'-20',0,3,Ireland,Coup de pied,1707254687.477078,1707254715.4678533,40m1,4,40m3,8,Perte,Dégagement,2,2,0,0,0,0,0,0,0,1
France - Ireland,0'-20',0,3,France,Coup de pied,1707254729.8053572,1707254727.5365276,40m2,5,40m4,9,Faute -,Ruck +,0,1,1,0,0,0,0,0,1,0
France - Ireland,0'-20',0,3,Ireland,Touche,1707254794.6230438,1707254846.0686796,10m2,7,22m3,10,Perte,Jeu au pied,14,3,0,0,0,1,0,0,0,0
France - Ireland,0'-20',0,3,France,Coup de pied,1707254871.0913582,1707254905.0091348,22m2,3,40m1,4,Touche,Dégagement,2,2,0,0,0,0,0,0,0,1
France - Ireland,0'-20',0,3,Ireland,Touche,1707254911.9332807,1707254954.094628,40m4,9,En-but2,12,Faute -,Jeu au pied,4,1,2,0,0,1,1,0,0,0
France - Ireland,0'-20',0,3,Ireland,Touche,1707254983.0296419,1707254996.8422956,40m2,5,40m3,8,Perte,Dégagement,0,0,1,0,0,0,0,0,1,1
France - Ireland,0'-20',0,3,France,Coup de pied,1707255015.1878905,1707255021.3761816,40m2,5,40m2,5,Faute +,Ruck,1,1,0,0,0,0,0,0,0,0
France - Ireland,0'-20',0,3,France,Touche,1707255031.8648982,1707255076.9196942,10m2,7,22m3,10,Perte,Dégagement,2,2,0,0,0,0,1,0,0,1
France - Ireland,0'-20',0,3,France,Touche,1707255092.7855244,1707255103.8195221,40m2,5,22m3,10,Perte,Dégagement,3,0,0,0,0,0,0,0,0,1
France - Ireland,0'-20',0,3,Ireland,Touche,1707255118.5144978,1707255143.3505764,40m3,8,En-but,11,Essai,Offload,7,0,1,1,0,0,0,0,0,0
France - Ireland,0'-20',0,10,Ireland,Coup de pied,1707255169.965113,1707255191.3443334,22m2,3,40m3,8,Perte,Dégagement,4,1,0,0,0,0,0,0,0,1
France - Ireland,0'-20',0,10,Ireland,Coup de pied,1707255194.7096593,1707255229.4170885,40m1,4,40m4,9,Perte,Dégagement,2,2,0,0,0,0,0,0,0,1
France - Ireland,0'-20',0,10,France,Coup de pied,1707255236.0383976,1707255262.414462,40m1,4,10m2,7,Perte,Jeu au pied,0,0,0,1,0,1,0,0,0,0
France - Ireland,0'-20',0,10,France,Touche,1707255284.2068129,1707255313.896034,40m1,4,40m2,5,Perte,Dégagement,0,0,0,0,0,0,1,0,0,1
France - Ireland,0'-20',0,10,Ireland,Turnover,1707255322.7890236,1707255340.40731,40m4,9,40m4,9,Faute +,Passe,2,0,1,0,0,0,0,0,0,0
France - Ireland,20'-40',0,10,Ireland,Mêlée,1707255379.4149904,1707255411.7137058,40m4,9,En-but2,12,Faute -,Ruck,2,1,1,0,0,0,0,0,0,0
France - Ireland,20'-40',0,10,Ireland,Coup de pied,1707255420.6224585,1707255439.6770427,10m2,7,40m3,8,Faute +,Ruck +,1,0,1,0,0,0,0,0,0,0
France - Ireland,20'-40',0,10,Ireland,Coup de pied,1707255447.089567,1707255477.086858,10m1,6,10m1,6,Faute -,Passe,1,0,1,0,0,0,0,0,0,0
France - Ireland,20'-40',0,10,France,Mêlée,1707255497.875983,1707255512.8438728,10m2,7,10m2,7,Faute +,Ruck,1,1,0,1,0,0,0,0,0,0
France - Ireland,20'-40',3,10,France,Coup de pied,1707255529.360359,1707255564.5482202,22m2,3,40m2,5,Touche,Dégagement,1,2,0,0,0,0,0,0,0,1
France - Ireland,20'-40',3,10,Ireland,Touche,1707255579.2117298,1707255646.4390118,40m3,8,En-but,11,Essai,Passe,16,4,5,0,0,0,0,0,0,0
France - Ireland,20'-40',3,17,Ireland,Coup de pied,1707255656.538309,1707255695.658221,22m2,3,22m2,3,Faute +,Dégagement,3,1,1,0,0,0,0,0,0,1
