Match,Chrono,Score_team1,Score_team2,Possession,Start_type,Start_time,End_time,Start_zone,Start_zone_value,End_zone,End_zone_value,Résultat,Dernière action,Passe,Ruck,Ruck +,Offload,Offload +,Jeu au pied,Maul,Relâché,Départ ruck,Dégagement
Ireland - Italia,0'-20',0,0,Ireland,Coup de pied,1707854821.5639296,1707855025.5565112,22m2,3,10m2,7,Perte,Dégagement,4,1,1,0,0,0,0,0,0,1
Ireland - Italia,0'-20',0,0,Italia,Coup de pied,1707855035.2071779,1707855058.5898485,10m1,6,40m4,9,Perte,Jeu au pied,6,1,1,1,0,1,0,0,0,0
Ireland - Italia,0'-20',0,0,Ireland,Coup de pied,1707855062.567077,1707855089.8986497,40m1,4,10m2,7,Perte,Jeu au pied,2,2,1,0,0,1,0,0,0,0
Ireland - Italia,0'-20',0,0,Italia,Coup de pied,1707855095.3873637,1707855116.926063,10m1,6,40m4,9,Perte,Jeu au pied,1,2,0,0,0,1,0,0,0,0
Ireland - Italia,0'-20',0,0,Ireland,Coup de pied,1707855121.6153085,1707855143.3534646,40m1,4,40m1,4,Touche,Jeu au pied,3,1,1,0,0,1,0,0,0,0
Ireland - Italia,0'-20',0,0,Italia,Touche,1707855162.967132,1707855212.3864598,40m4,9,10m2,7,Faute +,Ruck,11,5,1,0,0,0,0,0,0,0
Ireland - Italia,0'-20',0,0,Italia,Coup de pied,1707855217.6300032,1707855255.45225,10m2,7,22m3,10,Perte,Jeu au pied,1,2,0,0,0,1,0,0,0,0
Ireland - Italia,0'-20',0,0,Ireland,Jeux rapide,1707855262.5778646,1707855355.7849417,22m2,3,En-but,11,Essai,Passe,22,7,5,0,2,0,0,0,0,0
Ireland - Italia,0'-20',5,0,Ireland,Coup de pied,1707855372.2958088,1707855409.36215,40m1,4,10m1,6,Perte,Dégagement,3,2,0,0,0,0,0,0,0,1
Ireland - Italia,0'-20',5,0,Italia,Coup de pied,1707855414.4843495,1707855426.9747486,10m2,7,10m2,7,Faute -,Ruck,2,1,1,0,0,0,0,0,0,0
Ireland - Italia,0'-20',5,0,Ireland,Touche,1707855435.3189044,1707855471.8022044,40m4,9,22m3,10,Faute +,Ruck,2,2,1,0,0,0,1,0,1,0
Ireland - Italia,0'-20',5,0,Ireland,Touche,1707855483.554039,1707855509.3455486,22m4,11,22m4,11,Faute -,Passe,1,0,0,0,0,0,1,0,0,0
Ireland - Italia,0'-20',5,0,Italia,Turnover,1707855517.7805629,1707855522.5988102,22m1,2,,0,Supprimer,Ruck,0,1,0,0,0,0,0,0,0,0
Ireland - Italia,0'-20',5,0,Ireland,Coup de pied,1707855547.2588687,1707855572.1251047,40m2,5,10m1,6,Perte,Ruck,3,2,1,0,0,1,0,0,0,0
Ireland - Italia,0'-20',5,0,Italia,Turnover,1707855584.5433419,1707855650.7545786,10m2,7,40m3,8,Perte,Ruck +,14,6,2,0,0,0,0,0,1,0
Ireland - Italia,0'-20',5,0,Ireland,Turnover,1707855657.0096292,1707855672.8473458,40m2,5,10m2,7,Perte,Jeu au pied,0,1,0,0,0,1,0,0,0,0
Ireland - Italia,0'-20',5,0,Italia,Coup de pied,1707855678.8685482,1707855703.6551003,10m1,6,40m4,9,Perte,Jeu au pied,1,2,0,0,0,1,0,0,0,0
Ireland - Italia,0'-20',5,0,Ireland,Coup de pied,1707855707.7010992,1707855724.9715633,40m1,4,40m4,9,Perte,Dégagement,2,0,1,0,0,0,0,0,0,1
Ireland - Italia,0'-20',5,0,Italia,Coup de pied,1707855733.457694,1707855740.8936021,40m1,4,,0,Supprimer,Jeu au pied,0,0,0,0,0,1,0,0,0,0
