Match,Chrono,Score_team1,Score_team2,Possession,Start_type,Start_time,End_time,Start_zone,Start_zone_value,End_zone,End_zone_value,Résultat,Dernière action,Passe,Ruck,Ruck +,Offload,Offload +,Jeu au pied,Maul,Relâché,Départ ruck,Dégagement
Scotland - France,0'-20',0,0,France,Coup de pied,1707664168.0025933,1707664174.0132272,22m2,3,,0,Supprimer,Ruck +,0,0,1,0,0,0,0,0,0,0
Scotland - France,0'-20',0,0,Scotland,Coup de pied,1707664192.597031,1707664219.8006177,10m2,7,22m3,10,Perte,Jeu au pied,1,2,0,0,0,1,0,0,0,0
Scotland - France,0'-20',0,0,Scotland,Coup de pied,1707664224.7680802,1707664235.803576,40m1,4,,0,Supprimer,Passe,1,0,0,0,0,0,0,0,0,0
Scotland - France,0'-20',0,0,Scotland,Touche,1707664241.3019161,1707664268.2280147,40m2,5,22m3,10,Perte,Dégagement,2,0,0,0,0,0,0,0,0,1
Scotland - France,0'-20',0,0,Scotland,Touche,1707664271.2290285,1707664292.3808975,40m2,5,40m2,5,Faute -,Maul,0,0,0,0,0,0,1,0,0,0
Scotland - France,0'-20',0,0,France,Turnover,1707664317.9100595,1707664348.3010674,40m3,8,40m3,8,Faute -,Ruck +,6,2,2,0,0,0,0,0,0,0
Scotland - France,0'-20',0,0,Scotland,Touche,1707664362.5061417,1707664383.7136416,40m4,9,22m3,10,Faute -,Passe,3,0,0,0,0,0,0,0,0,0
Scotland - France,0'-20',0,0,Scotland,Touche,1707664389.8369772,1707664449.5088747,40m2,5,10m2,7,Perte,Jeu au pied,0,0,0,0,0,1,1,0,0,0
Scotland - France,0'-20',0,0,France,Coup de pied,1707664455.791757,1707664475.2603054,10m1,6,,0,Perte,Jeu au pied,1,2,0,0,0,1,0,0,0,0
Scotland - France,0'-20',0,0,Scotland,Coup de pied,1707664482.754799,1707664479.2362778,40m1,4,En-but,11,Essai,Passe,8,1,3,0,1,1,0,0,0,0
Scotland - France,0'-20',7,0,France,Coup de pied,1707664576.7945168,1707664654.5493352,10m1,6,22m3,10,Faute +,Ruck +,15,2,7,0,0,0,0,0,0,0
Scotland - France,0'-20',7,3,Scotland,Touche,1707664709.0967977,1707664749.8194494,10m2,7,40m3,8,Perte,Ruck,9,3,2,0,1,0,0,0,0,0
Scotland - France,0'-20',7,3,France,Turnover,1707664758.7865772,1707664768.7072845,40m2,5,40m2,5,Perte,Jeu au pied,1,0,0,1,0,1,0,0,0,0
Scotland - France,0'-20',7,3,Scotland,Coup de pied,1707664800.8876073,1707664815.4741914,40m2,5,10m1,6,Touche,Passe,3,0,1,0,0,0,0,0,0,0
Scotland - France,0'-20',7,3,France,Touche,1707664824.5626202,1707664845.5253553,10m2,7,22m4,11,Perte,Passe,4,0,1,0,0,0,0,0,0,0
Scotland - France,0'-20',7,3,Scotland,Turnover,1707664856.3499868,1707664865.9591458,22m1,2,40m3,8,Touche,Jeu au pied,0,0,0,0,0,1,0,0,0,0
Scotland - France,0'-20',7,3,Scotland,Touche +,1707664889.158477,1707664927.2232916,10m2,7,40m3,8,Perte,Jeu au pied,5,3,0,0,0,1,0,0,0,0
Scotland - France,0'-20',7,3,France,Coup de pied,1707664932.705099,1707664936.6342585,40m2,5,,0,Supprimer,Ruck,0,1,0,0,0,0,0,0,0,0
Scotland - France,0'-20',7,3,Scotland,Touche,1707664958.6511328,1707664965.0771184,10m1,6,40m4,9,Perte,Jeu au pied,2,0,0,0,0,1,0,0,0,0
Scotland - France,0'-20',7,3,Scotland,Touche,1707664977.8703494,1707665015.2299025,40m3,8,40m4,9,Faute +,Ruck,5,2,3,0,0,0,0,0,0,0
Scotland - France,0'-20',7,3,Scotland,Touche,1707665017.6917024,1707665098.85127,22m4,11,22m4,11,Faute +,Offload,3,5,4,1,0,0,1,0,6,0
Scotland - France,20'-40',10,3,France,Coup de pied,1707665138.2192352,1707665149.4114916,10m1,6,40m4,9,Faute +,Jeu au pied,1,0,1,0,0,1,0,0,0,0
Scotland - France,20'-40',10,3,France,Mêlée,1707665158.4019892,1707665259.0861588,40m4,9,22m3,10,Faute -,Ruck +,15,5,6,0,0,0,0,0,1,0
Scotland - France,20'-40',10,3,Scotland,Touche +,1707665291.369078,1707665306.2968652,10m2,7,22m4,11,Touche,Dégagement,1,0,1,0,0,0,0,0,0,1
Scotland - France,20'-40',10,3,France,Touche,1707665324.099798,1707665357.3851151,22m1,2,40m1,4,Touche,Dégagement,0,1,0,0,0,0,0,0,0,1
Scotland - France,20'-40',10,3,Scotland,Touche,1707665378.9715402,1707665386.226623,40m4,9,40m4,9,Faute +,Passe,3,0,0,0,0,0,1,0,0,0
Scotland - France,20'-40',13,3,France,Turnover,1707665429.140914,1707665484.4966836,40m4,9,En-but,11,Essai,Passe,14,3,5,0,0,0,0,0,0,0
Scotland - France,20'-40',13,10,Scotland,Coup de pied,1707665525.7285044,1707665557.928794,10m2,7,40m4,9,Faute +,Passe,3,2,1,0,1,1,0,0,0,0
Scotland - France,20'-40',13,10,Scotland,Mêlée,1707665567.7275462,1707665613.8860416,40m4,9,22m3,10,Perte,Jeu au pied,7,2,0,0,0,1,0,0,0,0
Scotland - France,20'-40',13,10,Scotland,Touche,1707665618.329428,1707665691.4247,40m4,9,22m4,11,Faute +,Départ ruck,7,3,6,0,0,0,0,0,4,0
Scotland - France,20'-40',13,10,Scotland,Jeux rapide,1707665694.6040876,1707665790.1500454,22m4,11,22m4,11,Faute +,Passe,7,2,3,1,0,0,0,0,1,0
Scotland - France,20'-40',13,10,Scotland,Mêlée,1707665793.1650658,1707665847.1011283,22m4,11,22m4,11,Faute +,Ruck,2,1,0,0,0,0,0,0,0,0
Scotland - France,40'-60',13,10,Scotland,Coup de pied,1707665885.4037626,1707665995.9150956,22m2,3,,0,Supprimer,Ruck +,0,0,1,0,0,0,0,0,0,0
Scotland - France,40'-60',13,10,France,Coup de pied,1707666013.2644188,1707666049.555646,10m1,6,10m2,7,Perte,Ruck +,5,1,3,0,0,1,0,0,0,0
Scotland - France,40'-60',13,10,Scotland,Turnover,1707666065.0627668,1707666076.513834,10m1,6,22m3,10,Perte,Dégagement,2,1,0,0,0,0,0,0,0,1
Scotland - France,40'-60',13,10,Scotland,Touche,1707666082.914982,1707666147.5856645,10m1,6,,0,Supprimer,Maul,0,0,0,0,0,0,1,0,0,0
Scotland - France,40'-60',13,10,France,Coup de pied,1707666161.7752755,1707666163.5913482,40m2,5,,0,Supprimer,,0,0,0,0,0,0,0,0,0,0
Scotland - France,40'-60',13,10,Scotland,Touche +,1707666186.212081,1707666233.4463964,10m2,7,40m3,8,Faute -,Passe,6,4,2,0,0,1,0,0,0,0
Scotland - France,40'-60',13,10,France,Mêlée,1707666251.7041998,1707666291.165129,40m1,4,40m3,8,Perte,Jeu au pied,1,1,1,0,0,1,0,0,1,0
Scotland - France,40'-60',13,10,Scotland,Coup de pied,1707666295.8902974,1707666322.1060941,40m2,5,22m3,10,Perte,Jeu au pied,4,0,2,0,0,1,0,0,0,0
Scotland - France,40'-60',13,10,France,Touche +,1707666348.5262609,1707666391.5594754,10m2,7,22m3,10,Perte,Dégagement,5,2,1,0,0,1,0,0,0,1
Scotland - France,40'-60',13,10,Scotland,Mêlée,1707666431.6629171,1707666446.7755296,22m3,10,,0,Supprimer,Ruck +,1,0,1,0,0,0,0,0,0,0
Scotland - France,40'-60',13,10,Scotland,Mêlée,1707666454.9393055,1707666479.6442523,22m3,10,En-but2,12,Perte,Jeu au pied,1,0,1,0,1,1,0,0,0,0
Scotland - France,40'-60',13,10,Scotland,Coup de pied,1707666482.4715726,1707666533.7905767,10m1,6,22m3,10,Faute -,Ruck +,3,0,2,0,1,0,0,0,0,0
