Match,Chrono,Score_team1,Score_team2,Possession,Start_type,Start_time,End_time,Start_zone,Start_zone_value,End_zone,End_zone_value,Résultat,Dernière action,Passe,Ruck,Ruck +,Offload,Offload +,Jeu au pied,Maul,Relâché,Départ ruck,Dégagement
France - England,0'-20',0,0,England,Coup de pied,1711118083.8364596,1711118112.6649277,22m1,2,,0,Supprimer,,0,0,0,0,0,0,0,0,0,0
France - England,0'-20',0,0,France,Coup de pied,1711118115.4561672,1711118184.1030507,10m1,6,40m4,9,Touche,Jeu au pied,13,3,5,0,0,1,0,1,1,0
France - England,0'-20',0,0,England,Touche,1711118188.6267822,1711118216.8254242,40m1,4,,0,Supprimer,Maul,0,0,0,0,0,0,1,0,0,0
France - England,0'-20',0,0,France,Turnover,1711118224.5209088,1711118243.3662033,22m3,10,22m3,10,Perte,Départ ruck,1,1,2,1,0,0,0,0,3,0
France - England,0'-20',0,0,France,Mêlée,1711118246.3999424,1711118277.638794,10m1,6,10m1,6,Faute -,Passe,3,0,0,0,0,0,0,0,0,0
France - England,0'-20',0,0,France,Touche,1711118280.8783312,1711118341.7094324,22m1,2,22m3,10,Perte,Jeu au pied,1,1,1,0,0,1,1,0,0,0
France - England,0'-20',0,0,England,Coup de pied,1711118346.4454856,1711118360.7186759,22m2,3,10m2,7,Touche,Passe,3,0,1,0,0,0,0,0,0,0
France - England,0'-20',0,0,France,Touche,1711118367.3398821,1711118388.8525302,10m1,6,10m1,6,Faute +,Jeu au pied,3,1,1,0,0,1,1,0,1,0
France - England,0'-20',0,0,France,Touche,1711118391.5649285,1711118404.879867,40m4,9,40m4,9,Faute -,Passe,3,0,0,0,0,0,0,0,0,0
France - England,0'-20',0,0,England,Turnover,1711118412.160876,1711118422.3520114,40m1,4,40m4,9,Perte,Dégagement,1,1,0,0,0,0,0,0,0,1
France - England,0'-20',0,0,France,Touche,1711118457.130483,1711118482.1799815,40m1,4,10m2,7,Perte,Jeu au pied,2,0,1,0,0,1,0,0,0,0
France - England,0'-20',0,0,England,Coup de pied,1711118489.044437,1711118512.6879215,10m1,6,40m3,8,Perte,Jeu au pied,2,1,1,0,0,1,0,0,0,0
France - England,0'-20',0,0,England,Mêlée,1711118527.5222378,1711118543.9003494,10m2,7,,0,Supprimer,,0,0,0,0,0,0,0,0,0,0
France - England,0'-20',0,3,France,Coup de pied,1711118570.1150103,1711118585.2148178,10m1,6,10m1,6,Perte,Ruck +,1,0,1,0,0,0,0,0,0,0
France - England,0'-20',0,3,England,Touche,1711118620.4952433,1711118655.1646416,10m1,6,22m3,10,Perte,Jeu au pied,2,2,0,0,0,1,0,0,0,0
France - England,0'-20',0,3,France,Coup de pied,1711118661.61903,1711118680.2374525,22m2,3,10m2,7,Perte,Jeu au pied,0,0,1,0,0,1,0,0,0,0
France - England,0'-20',0,3,England,Coup de pied,1711118686.818223,1711118709.8247204,10m1,6,40m3,8,Perte,Jeu au pied,4,1,2,0,0,1,0,0,0,0
France - England,0'-20',0,3,France,Coup de pied,1711118716.8260558,1711118742.3424842,40m2,5,40m3,8,Perte,Jeu au pied,1,2,0,0,0,1,0,0,0,0
France - England,0'-20',0,3,England,Coup de pied,1711118748.552675,1711118757.5073917,40m2,5,10m1,6,Faute -,Ruck +,1,0,1,0,0,0,0,0,0,0
France - England,0'-20',3,3,France,Coup de pied,1711118778.7244399,1711118786.5107148,22m2,3,,0,Supprimer,Ruck,0,1,0,0,0,0,0,0,0,0
France - England,0'-20',3,3,France,Touche +,1711118818.4552202,1711118839.604801,10m1,6,En-but,13,Essai,Offload +,5,0,0,0,1,0,0,0,0,0
France - England,20'-40',10,3,France,Coup de pied,1711118860.3871644,1711118913.9609404,22m2,3,10m2,7,Touche,Jeu au pied,1,1,1,0,0,1,0,0,0,0
France - England,20'-40',10,3,England,Touche,1711118922.0086904,1711118962.1012366,10m1,6,22m4,11,Touche,Jeu au pied,7,2,2,0,0,1,0,0,0,0
France - England,20'-40',10,3,England,Touche,1711118967.3466783,1711119059.4094136,22m4,11,40m4,9,Faute -,Jeu au pied,6,3,2,0,0,1,1,0,0,0
France - England,20'-40',10,3,France,Turnover,1711119074.8307674,1711119090.559286,40m1,4,22m4,11,Faute +,Jeu au pied,0,0,0,0,0,1,0,0,0,0
France - England,20'-40',10,3,France,Mêlée,1711119101.051049,1711119144.109225,22m4,11,En-but2,12,Touche,Jeu au pied,1,1,2,0,0,1,0,0,3,0
France - England,20'-40',10,3,France,Coup de pied,1711119150.9668107,1711119205.2021804,10m2,7,40m4,9,Perte,Jeu au pied,3,3,1,0,0,1,0,0,0,0
France - England,20'-40',10,3,England,Mêlée,1711119219.9577603,1711119266.4196153,40m2,5,10m2,7,Faute -,Jeu au pied,1,0,2,0,0,1,0,0,1,0
France - England,20'-40',10,3,France,Turnover,1711119276.3472216,1711119322.2759397,10m1,6,40m4,9,Faute +,Passe,9,3,1,3,0,1,0,0,1,0
France - England,20'-40',13,3,France,Coup de pied,1711119369.0600107,1711119392.2224483,22m2,3,22m2,3,Faute +,Ruck,1,2,0,0,0,0,0,0,0,0
France - England,20'-40',13,3,France,Touche,1711119396.839052,1711119461.0963438,10m1,6,10m2,7,Faute +,Ruck,9,4,1,1,0,0,0,0,0,0
France - England,20'-40',16,3,England,Touche,1711119487.5837455,1711119503.6927483,40m3,8,22m4,11,Perte,Jeu au pied,5,0,1,0,0,1,0,0,0,0
France - England,20'-40',16,3,England,Touche,1711119509.2549765,1711119531.100027,22m4,11,22m4,11,Faute +,Ruck +,1,0,2,0,0,0,0,0,1,0
France - England,20'-40',16,3,England,Touche,1711119537.6867135,1711119566.5535352,22m4,11,22m4,11,Faute +,Ruck,0,2,0,0,0,0,1,0,1,0
France - England,20'-40',16,3,England,Touche,1711119570.9687128,1711119598.9343464,22m4,11,En-but,13,Essai,Passe,2,0,0,0,0,0,1,0,0,0
