Match,Chrono,Score_team1,Score_team2,Possession,Start_type,Start_time,End_time,Start_zone,Start_zone_value,End_zone,End_zone_value,Résultat,Dernière action,Passe,Ruck,Ruck +,Offload,Offload +,Jeu au pied,Maul,Relâché,Départ ruck,Dégagement
Wales - Italia,0'-20',0,0,Italia,Coup de pied,1711111447.9246,1711111471.7868237,22m2,3,,0,Supprimer,Jeu au pied,0,0,1,0,0,1,0,0,0,0
Wales - Italia,0'-20',0,0,Wales,Coup de pied,1711111475.2436655,1711111497.6110408,10m1,6,40m4,9,Perte,Jeu au pied,2,1,1,0,0,1,0,0,0,0
Wales - Italia,0'-20',0,0,Italia,Coup de pied,1711111527.5205398,1711111540.048167,40m2,5,40m3,8,Faute -,Jeu au pied,0,0,0,0,1,1,0,0,0,0
Wales - Italia,0'-20',0,0,Wales,Touche,1711111550.99775,1711111640.5473983,10m1,6,10m2,7,Faute -,Passe,15,4,1,0,1,1,0,0,0,0
Wales - Italia,0'-20',0,0,Italia,Mêlée,1711111647.0195024,1711111676.222402,10m1,6,22m3,10,Perte,Ruck +,3,0,1,0,0,0,0,0,0,0
Wales - Italia,0'-20',0,0,Wales,Turnover,1711111685.6499207,1711111714.0023828,22m2,3,10m2,7,Perte,Jeu au pied,1,2,0,0,0,1,0,0,0,0
Wales - Italia,0'-20',0,0,Wales,Coup de pied,1711111718.2695427,1711111727.1461582,40m1,4,,0,Supprimer,Ruck,0,1,0,0,0,0,0,0,0,0
Wales - Italia,0'-20',0,3,Wales,Coup de pied,1711111764.6677299,1711111786.428392,10m2,7,40m3,8,Faute -,Jeu au pied,3,3,0,0,0,1,0,0,0,0
Wales - Italia,0'-20',0,3,Italia,Turnover,1711111798.1882553,1711111830.8206909,40m1,4,10m2,7,Perte,Jeu au pied,1,1,1,0,0,1,0,0,0,0
Wales - Italia,0'-20',0,3,Wales,Coup de pied,1711111837.574229,1711111860.711494,10m1,6,10m1,6,Faute +,Ruck +,5,2,1,0,0,0,0,0,0,0
Wales - Italia,0'-20',0,3,Wales,Touche,1711111866.4843743,1711111890.939386,40m4,9,22m3,10,Perte,Ruck +,2,0,2,0,0,0,0,0,1,0
Wales - Italia,0'-20',0,3,Italia,Turnover,1711111903.4947946,1711111916.5423393,22m2,3,40m1,4,Touche,Jeu au pied,3,0,0,0,0,1,0,0,0,0
Wales - Italia,0'-20',0,3,Italia,Touche,1711111941.732446,1711111961.5129154,40m1,4,,0,Supprimer,Jeu au pied,0,1,0,0,0,1,0,0,1,0
Wales - Italia,0'-20',0,3,Wales,Coup de pied,1711111968.1911192,1711111991.0417373,10m1,6,22m4,11,Perte,Jeu au pied,2,2,0,0,0,1,0,0,0,0
